日付,セッション,始値,高値,安値,終値,サンプル数
2026-06-12,夜間,82310,84410,81600,83947,250
2026-06-17,夜間,95900,96150,94250,94600,200
2026-06-18,寄り前,96990,97350,96796,96796,13
2026-06-19,寄り前,100250,100250,100250,100250,1
2026-06-25,寄り前,107095,107095,106090,106090,25
2026-06-29,夜間,87470,88000,80150,83800,191
2026-06-29,寄り前,91300,92600,91108,91800,26
2026-06-30,寄り前,88050,88910,87898,88270,33
2026-07-01,夜間,87605,88350,84598,84598,269
2026-07-02,寄り前,81600,81610,80000,80300,19
2026-07-09,寄り前,74887,76340,74887,75960,27
2026-07-14,夜間,70050,70129,69700,70032,23
